School,Ranges,Playing in 2021?,Playing in 1925?,Playing in 1900?,levels
Pacific,1895; 1898; 1899; 1919-1995,FALSE,TRUE,TRUE,FBS; FCS
Stanford,1891-1905; 1919-present,TRUE,TRUE,TRUE,FBS
California,1886-1888; 1890-1905; 1916-present,TRUE,TRUE,TRUE,FBS
San Jose State,1892-1900; 1921-present,TRUE,TRUE,TRUE,FBS
Fresno State,1921-present,TRUE,TRUE,FALSE,FBS
USC,1888-1910; 1914-present,TRUE,TRUE,TRUE,FBS
San Diego State,1921-present,TRUE,TRUE,FALSE,FBS; FCS
UCLA,1919-present,TRUE,TRUE,FALSE,FBS
Chico State,1920-1996,FALSE,TRUE,FALSE,FCS; D2
Sonoma State,1970-1996,FALSE,FALSE,FALSE,D2
Cal State Hayward,1965-1993,FALSE,FALSE,FALSE,D2
Humboldt State,1928-2018,FALSE,FALSE,FALSE,
Sacramento State,1954-present,TRUE,FALSE,FALSE,
Saint Mary's,1907-1950; 1970-2003,FALSE,TRUE,FALSE,
SF State,1931-1941; 1945-1994,FALSE,FALSE,FALSE,
UC Davis,1915-1917; 1918-1941; 1945-present,TRUE,TRUE,FALSE,
Cal Poly,1915-present,TRUE,TRUE,FALSE,
Santa Clara,1896-1951; 1959-1992,FALSE,TRUE,TRUE,
Cal State LA,1951-1977,FALSE,FALSE,FALSE,
Long Beach State,1955-1991,FALSE,FALSE,FALSE,
UC Santa Barbara,1921-1971; 1987-1992,FALSE,TRUE,FALSE,
Cal State Fullerton,1970-1992,FALSE,FALSE,FALSE,
Cal State Northridge,1962-2001,FALSE,FALSE,FALSE,
Cal Poly Pomona,1947-1982,FALSE,FALSE,FALSE,
San Diego,1956-present,TRUE,FALSE,FALSE,D2
San Francisco State,1931-1994,FALSE,FALSE,FALSE,FCS; D2
